item_id,project_id,project_name,project_country,project_city,equipment_code,equipment_name,equipment_category,supplier_name,supplier_country,origin_country,origin_city,origin_port,destination_port,transport_mode,incoterm,purchase_order_id,hs_code,quantity,unit_of_measure,baseline_due_date,latest_expected_delivery_date,actual_delivery_date,delivery_status,current_milestone,milestone_updated_at,criticality_score,item_value_usd,penalty_per_day_usd,data_source,created_at,updated_at
ITEM-0011,PRJ-NLD-004,Rotterdam Hydrogen Terminal,Netherlands,Rotterdam,VLV-CRYO-12,Cryogenic Valve Set,Valve,Velan France,France,France,Lyon,Le Havre,Rotterdam,Road + Sea,DAP,PO-NLD-2026-4002,848180,72,sets,2026-07-05,2026-07-02,,On Track,Packing,2026-05-26,4,390000,3000,Supplier Portal,2026-05-05 09:30:00,2026-05-26 17:20:00
ITEM-0012,PRJ-NLD-004,Rotterdam Hydrogen Terminal,Netherlands,Rotterdam,PLC-SAF-09,Safety PLC Cabinet,Control System,Rockwell Automation,United States,United States,Milwaukee,New York,Rotterdam,Sea,FOB,PO-NLD-2026-4003,853710,4,cabinets,2026-06-22,2026-07-09,,Manufacturing,Component Shortage Review,2026-05-19,5,480000,7000,ERP Upload,2026-05-05 09:30:00,2026-05-19 10:05:00
ITEM-0013,PRJ-BRA-005,Santos Port Electrification,Brazil,Santos,CRN-MTR-03,Crane Drive Motor,Motor,ABB Sweden,Sweden,Sweden,Vasteras,Gothenburg,Santos,Sea,CIF,PO-BRA-2026-5001,850153,16,motors,2026-06-30,2026-07-21,,Manufacturing,Winding Completion,2026-05-17,4,680000,8000,ERP Upload,2026-05-06 13:00:00,2026-05-17 09:20:00
ITEM-0014,PRJ-BRA-005,Santos Port Electrification,Brazil,Santos,MCC-690-02,690 V Motor Control Center,MCC,WEG Electric,Brazil,Brazil,Jaragua do Sul,Itajai,Santos,Road,DAP,PO-BRA-2026-5002,853710,9,sections,2026-07-15,2026-07-15,,On Track,Assembly,2026-05-28,3,330000,2500,ERP Upload,2026-05-06 13:00:00,2026-05-28 10:30:00
ITEM-0015,PRJ-BRA-005,Santos Port Electrification,Brazil,Santos,FIB-OPT-01,Industrial Fiber Optic Cable,Cable,Prysmian Italy,Italy,Italy,Milan,Genoa,Santos,Sea,FOB,PO-BRA-2026-5003,854470,18000,meters,2026-06-12,2026-06-18,,In Transit,Ocean Freight,2026-05-26,2,145000,1000,Supplier Portal,2026-05-06 13:00:00,2026-05-26 21:15:00
ITEM-0016,PRJ-USA-006,Texas Battery Storage Farm,United States,Austin,PCS-3MW-05,3 MW Power Conversion System,Power Conversion,Hitachi Energy Switzerland,Switzerland,Switzerland,Zurich,Antwerp,Houston,Road + Sea,CIF,PO-USA-2026-6001,850440,8,units,2026-06-08,2026-06-24,,In Transit,European Inland Transport,2026-05-23,5,1760000,13000,ERP Upload,2026-05-07 11:00:00,2026-05-23 19:00:00
ITEM-0017,PRJ-USA-006,Texas Battery Storage Farm,United States,Austin,BMS-RACK-08,Battery Management System Rack,Battery Control,LG Energy Solution,South Korea,South Korea,Cheongju,Busan,Houston,Sea,FOB,PO-USA-2026-6002,853710,32,racks,2026-07-12,2026-07-19,,Manufacturing,Firmware Validation,2026-05-22,4,610000,5000,Supplier Portal,2026-05-07 11:00:00,2026-05-22 16:00:00
ITEM-0018,PRJ-USA-006,Texas Battery Storage Farm,United States,Austin,FIRE-SUP-02,Container Fire Suppression Kit,Fire Safety,Johnson Controls,United States,United States,Norman,Houston,Houston,Road,DAP,PO-USA-2026-6003,842410,20,kits,2026-06-30,2026-06-27,,Ready to Ship,Domestic Dispatch,2026-05-28,3,220000,1500,ERP Upload,2026-05-07 11:00:00,2026-05-28 09:00:00
ITEM-0019,PRJ-AUS-007,Perth Desalination Upgrade,Australia,Perth,PMP-HP-19,High Pressure Pump Skid,Pump,Grundfos Denmark,Denmark,Denmark,Bjerringbro,Aarhus,Fremantle,Sea,CIF,PO-AUS-2026-7001,841370,5,skids,2026-06-14,2026-07-01,,Manufacturing,Motor Integration,2026-05-20,5,850000,9000,ERP Upload,2026-05-08 15:00:00,2026-05-20 11:15:00
ITEM-0020,PRJ-AUS-007,Perth Desalination Upgrade,Australia,Perth,MEM-RO-22,Reverse Osmosis Membrane Train,Membrane,Toray Industries,Japan,Japan,Tokyo,Yokohama,Fremantle,Sea,FOB,PO-AUS-2026-7002,842199,12,trains,2026-07-25,2026-07-22,,On Track,Manufacturing,2026-05-27,4,1250000,7000,Supplier Portal,2026-05-08 15:00:00,2026-05-27 14:00:00
